state,starting_pop,max_pop,pop_lost,percent_lost,pop_gained,pop_renovated,percent_renovated,varroa_mites,other_pests,diseases,pesticides,other,unknown,quarter,year
Alabama,7000,8500,650,8,1700,710,8,25.2,27.3,1.3,14.4,9.4,2.1,2,2018
Arizona,19000,19500,2600,13,14000,2100,11,73.8,7.2,32.8,0.8,14.3,4.1,2,2018
Arkansas,14500,16000,2000,13,13000,1900,12,30.9,12.8,0.7,2.2,17,13.2,2,2018
California,1130000,1200000,110000,9,172000,255000,21,41.5,10.2,11.1,13.7,9,5,2,2018
Colorado,16500,27000,3000,11,12500,4700,17,41.7,(Z),12.7,3.6,4.2,0.5,2,2018
Connecticut,3600,3600,120,3,340,170,5,11.1,0.9,0.4,0.8,0.8,0.4,2,2018
Florida,250000,275000,56000,20,49000,68000,25,45.3,27.5,9.6,15.5,10.1,21.1,2,2018
Georgia,131000,137000,18000,13,35000,16000,12,53,25.9,13.8,14.8,31.4,10.1,2,2018
Hawaii,16500,16500,380,2,330,3100,19,88.3,91.9,0.4,-,0.8,0.2,2,2018
Idaho,59000,94000,6500,7,14500,29000,31,51.6,3.7,3,18.5,4.1,4.4,2,2018
Illinois,10000,10500,2300,22,5000,2900,28,13.7,7.8,6.7,6.6,9.9,2.4,2,2018
Indiana,8000,9500,1800,19,4000,730,8,78,3.5,0.4,4.5,1.3,1.1,2,2018
Iowa,45000,47000,4300,9,15500,4800,10,12.7,9.3,0.9,7.9,8.4,0.3,2,2018
Kansas,3900,3900,300,8,3500,2100,54,42.8,31.6,1.3,24.9,2.1,1.6,2,2018
Kentucky,5500,6000,910,15,1500,560,9,40.9,20.2,0.6,1,4.1,5.9,2,2018
Louisiana,48000,48000,1400,3,4900,4000,8,8.1,5.9,0.2,0.8,1.2,1.3,2,2018
Maine,2200,23000,3100,13,430,790,3,1.4,0.8,0.2,1.3,0.5,(Z),2,2018
Maryland,7000,8000,370,5,2400,1200,15,11.8,3.4,0.8,0.3,4.4,0.4,2,2018
Massachusetts,3500,8000,260,3,910,350,4,6.3,1.1,1,1.4,2,2.1,2,2018
Michigan,37000,70000,7500,11,23000,8500,12,75.4,18.6,10.8,11.7,12.7,9.8,2,2018
Minnesota,69000,116000,8500,7,42000,25000,22,12.9,9.3,7.2,6,8,20.7,2,2018
Mississippi,50000,50000,3400,7,4000,7000,14,44.6,26.2,-,0.2,3.5,2.2,2,2018
Missouri,7000,7000,390,6,2100,800,11,11.8,13.2,0.8,1.5,8.3,2.6,2,2018
Montana,50000,176000,5500,3,17000,22000,13,42.9,4.7,3.3,1.7,0.9,1.2,2,2018
Nebraska,10500,46000,2100,5,4000,900,2,5,1.4,1.4,4.2,9,5.5,2,2018
New Jersey,4400,15000,270,2,1300,170,1,16.5,3.3,(Z),0.1,3.4,0.1,2,2018
New Mexico,1900,4300,50,1,1700,450,10,0.3,0.1,0.3,-,0.2,1,2,2018
New York,20000,42000,2700,6,11000,2400,6,39.6,20,15,6.6,16.7,3.7,2,2018
North Carolina,16000,17500,2500,14,4100,800,5,9.7,2.6,0.5,2.4,14.6,0.8,2,2018
North Dakota,74000,460000,23000,5,23000,64000,14,34.8,7.9,4.9,4.7,4.9,4.3,2,2018
Ohio,11000,13000,1500,12,9000,2100,16,38.8,30.7,1.7,2.7,21.6,1.5,2,2018
Oklahoma,15500,15500,1700,11,10500,6500,42,60.2,10.9,9.6,26.7,12.4,0.1,2,2018
Oregon,41000,107000,3400,3,17500,24000,22,46.1,3.5,8.1,6.6,15.6,0.2,2,2018
Pennsylvania,15500,19500,1100,6,6000,1600,8,31.3,16,2.2,2,1.6,1.9,2,2018
South Carolina,14000,14000,1300,9,2600,4000,29,14.2,3.5,0.7,1.6,10,3,2,2018
South Dakota,10000,169000,17000,10,12500,65000,38,55.1,40.4,7.3,3.8,37.5,(Z),2,2018
Tennessee,8000,8000,1200,15,3800,1300,16,30,22.9,3,3.4,6.2,2.5,2,2018
Texas,305000,315000,38000,12,79000,71000,23,26.5,17.7,8.1,4.5,8.5,14.6,2,2018
Utah,14500,26000,1900,7,9500,4100,16,43.5,3.7,2,1.7,1.4,1.9,2,2018
Vermont,5500,6500,520,8,2600,140,2,21.8,1.5,0.7,16.7,1.8,0.1,2,2018
Virginia,5000,6000,500,8,2600,700,12,22.7,18.8,3.2,1.3,23.1,1.5,2,2018
Washington,55000,122000,7500,6,15500,19000,16,55.9,9.4,7.6,7.6,7.1,0.6,2,2018
West Virginia,7000,7000,570,8,2300,550,8,13.8,7.5,0.9,2.9,13.6,7.9,2,2018
Wisconsin,26000,56000,6500,12,12000,7000,13,32.1,16.9,18.3,27.1,29.5,0.8,2,2018
Wyoming,8500,28000,2300,8,5500,2200,8,9.6,0.1,2.1,2.1,2.7,3.7,2,2018
Other States ,4380,8670,380,4,1750,1030,12,19.8,0.9,0.9,(Z),3.5,0.2,2,2018
United States,2665880,"""(X)""",355270,13,676360,740350,28,56.4,19.4,11.6,13.3,14.7,9.3,2,2018