state,starting_pop,max_pop,pop_lost,percent_lost,pop_gained,pop_renovated,percent_renovated,varroa_mites,other_pests,diseases,pesticides,other,unknown,quarter
Alabama,7500,7500,860,12,1900,680,9,16.7,42.5,"""(Z)""",2.3,3.2,4.1,2
Arizona,33000,33000,5500,17,19500,7000,21,8.4,32.1,0.5,20.1,28.2,0.3,2
Arkansas,13500,13500,1900,14,11500,5500,41,65.9,63.4,7,22.6,27.4,9.3,2
California,1040000,1050000,104000,10,170000,285000,27,50.9,21.5,7.8,23,14.2,3.1,2
Colorado,12000,25000,1900,8,6000,3500,14,38.6,1.8,4.6,2.8,3.4,6.6,2
Connecticut,3000,3000,80,3,1100,150,5,10.2,0.4,1.9,0.8,1,0.7,2
Florida,210000,215000,35000,16,44000,24000,11,44.2,26.4,2.7,17.7,13.6,5.4,2
Georgia,114000,124000,23000,19,25000,19000,15,52.8,17.5,2.9,28.7,11.5,4.1,2
Hawaii,13500,13500,120,1,1100,1200,9,60.1,61,0.3,0.1,3.2,0.1,2
Idaho,62000,72000,6500,9,16500,10500,15,25.5,6.7,6.5,6,13.7,0.3,2
Illinois,9500,9500,1300,14,6000,1500,16,10.3,3.7,0.2,2.5,2.3,2.4,2
Indiana,8000,12500,1300,10,4900,4300,34,15.4,1.8,7,0.5,4.4,2,2
Iowa,12500,24000,1400,6,6500,3100,13,21.5,5.1,2.9,7.8,2.7,1.9,2
Kansas,6000,7000,670,10,2800,420,6,14.4,2.4,0.9,0.1,3.5,4.9,2
Kentucky,7500,8500,980,12,3600,1500,18,21.7,18.2,5.3,1.8,9.5,2.9,2
Louisiana,44000,45000,1800,4,6500,8000,18,36.4,3.7,0.2,1.1,5,0.5,2
Maine,4600,30000,3200,11,3500,700,2,72.1,34.5,0.1,34.5,0.5,0.1,2
Maryland,8000,11000,370,3,2600,710,7,4.9,1.3,0.2,2.5,1.6,1.5,2
Massachusetts,4100,14000,320,2,940,510,4,66.8,61.7,0.2,61.8,4.4,3.1,2
Michigan,58000,88000,9500,11,13500,5500,6,26.9,13,0.6,9.1,16.4,3.1,2
Minnesota,71000,125000,12500,10,20000,21000,17,25.4,6.2,1.4,16.5,10.1,9.3,2
Mississippi,89000,89000,11000,12,5500,10000,11,10.1,6,0.3,0.1,2.3,1.7,2
Missouri,11500,12500,500,4,1900,1800,14,5.1,6.2,3.1,1.6,1,7.4,2
Montana,36000,210000,4200,2,14000,33000,16,9,0.9,0.8,5.3,1.6,"""(Z)""",2
Nebraska,29000,68000,4100,6,15500,4600,7,6.5,6.9,"""(Z)""",1.4,2.1,1.5,2
New Jersey,8500,19000,1800,10,2100,2900,15,52.5,3.6,0.3,26.1,1,2.4,2
New Mexico,6500,8500,1000,12,1500,330,4,38.8,"""(Z)""",15.5,5.9,0.4,2.7,2
New York,24000,34000,1100,3,11000,1500,4,19.1,12.5,4.5,4.4,3.3,1.1,2
North Carolina,19500,23000,1800,8,5500,3300,14,51,14.3,0.3,3.5,5.8,3,2
North Dakota,121000,450000,29000,6,39000,61000,14,15.5,3,0.1,4.3,4.6,0.3,2
Ohio,17500,19000,2100,11,10000,6000,32,15.8,4.1,3,11.9,11.2,29,2
Oklahoma,25000,27000,2200,8,5500,2200,8,66.1,6.3,"""(Z)""",0.1,7,1.9,2
Oregon,82000,95000,5500,6,14500,9500,10,39.3,20.9,13.2,16,5.8,0.4,2
Pennsylvania,15500,19000,1600,8,8500,2600,14,11.4,5.8,2.6,1.6,6.7,2.1,2
South Carolina,17500,18500,950,5,1100,2000,11,29.9,5.4,0.5,1.4,3.7,0.7,2
South Dakota,100000,290000,21000,7,27000,23000,8,9.8,11.1,1.8,2,1.4,1.5,2
Tennessee,7500,7500,730,10,3600,920,12,47.8,26.3,1.8,9.8,2.6,3,2
Texas,305000,315000,33000,11,76000,94000,30,19.3,22.9,2.5,6.6,7.4,3,2
Utah,24000,27000,3400,13,10000,3900,14,27.2,10.8,1.5,12.3,5.6,1.2,2
Vermont,6000,6000,100,2,580,50,1,3.7,1.9,0.1,"""(Z)""",1.3,0.1,2
Virginia,7500,7500,270,4,2100,430,6,26.2,13,1.8,0.2,3,4.5,2
Washington,105000,127000,5000,4,15000,13000,10,48.7,0.2,2.2,2,3.2,0.5,2
West Virginia,4700,4700,570,12,2900,590,13,15.6,8.3,0.6,2.7,4.6,4.4,2
Wisconsin,25000,65000,4600,7,10000,5500,9,35.3,5.6,1,8.2,15.2,2.3,2
Wyoming,12000,25000,3200,13,7500,5000,20,19.1,17.9,0.8,3.6,8.3,2.4,2
Other States ,8600,11200,1940,17,4140,1960,18,36.3,9.1,"""(Z)""","""(Z)""",0.1,"""(Z)""",2
United States,2849500,"""(X)""",352860,12,661860,692850,24,43.4,19.5,4.9,16.6,11.6,3.5,2